Employee ID,Age,Gender,Department,Job Role,Years At Company,Monthly Salary,Attrition
E1001,28,Female,HR,Recruiter,24,155352,No
E1076,35,Female,sales,Sales Executive,34,49173,No
E0335,39,Male,Marketing,Marketing Executive,12,148631,Yes
E0254,55,Female,Sales,Sales Executive,35,58706,Unknown
E1174,42,Female,Operations,Operations Executive,21,97572,Yes
E0657,55,Unkown,Marketing,Marketing Executive,28,151955,No
E0601,39,Female,Sales,Sales Executive,20,97580,No
E0977,35,Unkown,Marketing,Marketing Executive,12,34925,No
E0798,23,Male,Marketing,Marketing Executive,27,122151,No
E0545,39,Male,Sales,Sales Executive,32,126006,No
E1091,55,Unkown,Sales,Sales Executive,13,76338,Yes
E0681,60,Unkown,Human Resources,Recruiter,10,149240,N
E0891,31,Unkown,Finance,Financial Analyst,6,92945,No
E0447,60,Female,IT,System Admin,7,85624,Yes
E0527,40,Male,HR,HR Executive,16,135633,Yes
E1196,33,Female,Human Resources,Recruiter,32,107019,No
E0948,30,Male,Finance,Financial Analyst,4,36233,No
E0043,27,Male,IT,System Admin,8,54580,Yes
E0427,44,Unkown,Operations,Operations Executive,23,117565,No
E0140,28,Female,Operations,Operations Executive,27,42335,Yes
E1244,39,Female,IT,Software Engineer,35,152975,No
E1046,31,Male,Sales,Sales Manager,21,79242,No
E0875,24,Female,IT,Software Engineer,26,83011,Yes
E0476,39,Unkown,Human Resources,Recruiter,18,110613,No
E0284,44,Male,sales,Sales Executive,28,49850,No
E1141,47,Male,Marketing,Marketing Executive,9,122969,No
E0852,27,Male,Operations,Supervisor,15,144304,No
E0993,35,Female,Finance,Accountant,8,119966,No
E0052,46,Unkown,Operations,Supervisor,27,55245,No
E0462,57,Unkown,sales,Sales Executive,17,43938,No
E1437,53,Unkown,HR,HR Executive,10,76304,No
E1115,24,Female,Operations,Operations Executive,28,96626,No
E1533,35,Male,R&D,Research Analyst,21,123271,Yes
E0363,32,Female,Finance,Accountant,23,45342,No
E1486,26,Male,Sales,Sales Executive,18,102846,No
E0937,44,Unkown,Sales,Sales Manager,27,97628,No
E1314,22,Unkown,Human Resources,Recruiter,16,82448,Yes
E1032,56,Unkown,Finance,Financial Analyst,34,59727,No
E1137,30,Male,Human Resources,Recruiter,14,53106,No
E0827,45,Male,Operations,Operations Executive,23,45381,No
E0209,40,Unkown,Sales,Sales Manager,31,64051,No
E0510,40,Male,Finance,Financial Analyst,29,54977,No
E0853,22,Unkown,Human Resources,Recruiter,33,119373,No
E1066,29,Female,Finance,Accountant,7,30277,No
E1454,59,Male,Sales,Sales Executive,5,137250,No
E0247,49,Male,sales,Sales Executive,5,139209,Unknown
E0768,42,Unkown,Sales,Sales Executive,10,93532,No
E1388,40,Female,HR,Recruiter,0,116874,No
E0863,36,Female,sales,Sales Executive,22,156471,No
E1343,51,Unkown,HR,Recruiter,35,75583,No
E1398,31,Female,R&D,Research Analyst,13,38655,Yes
E1552,45,Female,R&D,Scientist,3,120261,No
E1060,35,Male,R&D,Research Analyst,19,125022,No
E1327,33,Female,Human Resources,Recruiter,5,127206,No
E0516,54,Unkown,IT,System Admin,5,44918,No
E1200,58,Male,Finance,Accountant,19,98691,No
E0035,32,Male,IT,System Admin,26,61068,No
E1014,58,Unkown,Operations,Operations Executive,32,120307,No
E1159,23,Male,Operations,Operations Executive,3,123378,No
E0747,38,Female,HR,HR Executive,16,126568,Yes
E1195,27,Female,Marketing,SEO Specialist,2,151207,Yes
E0965,58,Unkown,Marketing,Marketing Executive,25,128733,Yes
E1326,40,Female,Sales,Sales Manager,31,104308,No
E1564,50,Male,Sales,Sales Executive,16,127154,No
E0505,51,Female,R&D,Research Analyst,29,62681,No
E0811,34,Female,Finance,Accountant,6,56421,No
E1348,45,Unkown,Marketing,SEO Specialist,30,137836,No
E1568,47,Female,Human Resources,Recruiter,6,53316,No
E1136,22,Male,Operations,Supervisor,10,131997,No
E1045,54,Female,Finance,Accountant,22,135136,No
E0413,41,Female,Human Resources,Recruiter,32,152356,No
E1374,25,Female,IT,System Admin,12,103494,No
E0748,29,Unkown,HR,Recruiter,7,36047,No
E0929,37,Female,sales,Sales Executive,10,43821,No
E0087,35,Unkown,Sales,Sales Manager,30,87102,No
E0384,41,Unkown,Sales,Sales Manager,26,142104,No
E0708,48,Unkown,IT,System Admin,35,53209,Yes
E1154,22,Male,Sales,Sales Manager,5,31381,No
E0956,51,Unkown,Finance,Accountant,31,64410,Yes
E0793,55,Male,Finance,Accountant,31,154690,N
E0721,30,Unkown,Finance,Financial Analyst,11,56363,No
E1110,40,Unkown,sales,Sales Executive,1,56743,Yes
E0223,26,Unkown,HR,Recruiter,27,117206,No
E0936,50,Unkown,IT,System Admin,30,51360,No
E0960,37,Female,R&D,Scientist,17,48863,Yes
E0071,38,Unkown,sales,Sales Executive,27,104921,No
E0584,21,Unkown,Human Resources,Recruiter,10,42251,No
E1187,54,Female,Operations,Supervisor,18,97485,No
E0837,25,Male,sales,Sales Executive,10,39160,Yes
E0118,40,Unkown,Human Resources,Recruiter,8,110200,No
E1165,34,Unkown,Marketing,SEO Specialist,3,122399,No
E0844,46,Male,Marketing,SEO Specialist,10,30992,No
E0858,46,Female,Human Resources,Recruiter,26,139542,No
E0301,50,Unkown,Marketing,SEO Specialist,8,33220,No
E1360,30,Female,Sales,Sales Manager,6,126236,No
E0887,57,Female,Operations,Supervisor,27,58222,No
E1067,35,Male,Human Resources,Recruiter,11,55549,No
E0309,28,Unkown,HR,Recruiter,35,129667,No
E0658,23,Male,R&D,Scientist,0,39863,Yes
E0530,54,Unkown,Operations,Supervisor,8,30460,No
E0998,24,Unkown,IT,System Admin,35,87824,No
E0109,54,Female,sales,Sales Executive,33,30749,No
E0778,42,Male,IT,Software Engineer,27,88621,No
E0391,27,Unkown,sales,Sales Executive,0,69001,Y
E0204,28,Unkown,Finance,Accountant,18,145058,Yes
E0920,46,Female,Operations,Supervisor,31,30225,No
E1292,45,Male,R&D,Research Analyst,34,129589,Unknown
E0568,36,Unkown,sales,Sales Executive,15,138477,No
E0167,26,Unkown,sales,Sales Executive,19,112474,No
E1194,37,Male,HR,HR Executive,8,29184,Yes
E1015,25,Female,Sales,Sales Executive,6,41383,No
E0553,53,Male,Operations,Operations Executive,31,120140,No
E1218,34,Female,R&D,Scientist,22,32298,Yes
E1427,42,Unkown,R&D,Scientist,27,109013,No
E0600,60,Unkown,Operations,Operations Executive,15,31865,No
E0150,51,Male,R&D,Scientist,11,145498,N
E1429,42,Male,Operations,Supervisor,32,89070,No
E0590,46,Male,HR,Recruiter,21,131724,No
E0595,32,Male,Marketing,Marketing Executive,21,129896,No
E0770,40,Unkown,R&D,Scientist,17,62378,No
E0237,38,Male,Finance,Accountant,29,54514,No
E0270,28,Female,sales,Sales Executive,30,31092,No
E0666,46,Unkown,Finance,Accountant,25,71169,Yes
E0200,51,Female,Sales,Sales Manager,18,35193,Yes
E1051,58,Male,Marketing,Marketing Executive,29,158991,Yes
E0210,30,Unkown,IT,Software Engineer,28,133998,No
E1272,36,Female,IT,System Admin,15,157641,No
E0650,37,Female,Human Resources,Recruiter,19,44418,No
E0439,34,Male,sales,Sales Executive,34,159670,No
E1175,24,Female,sales,Sales Executive,7,59193,No
E0620,58,Male,IT,Software Engineer,3,47196,Yes
E0300,46,Male,Human Resources,Recruiter,28,122367,No
E0344,51,Female,IT,System Admin,7,126658,Yes
E0889,40,Male,R&D,Scientist,16,154649,Yes
E0860,40,Unkown,Operations,Operations Executive,2,103641,No
E0514,41,Female,sales,Sales Executive,24,28350,Yes
E0776,25,Unkown,R&D,Scientist,22,45945,Yes
E1040,43,Unkown,R&D,Scientist,21,94035,No
E0864,29,Female,Human Resources,Recruiter,19,61717,No
E1640,37,Male,Operations,Operations Executive,29,70411,No
E1641,27,Unkown,Finance,Financial Analyst,8,59982,No
E0547,54,Unkown,Sales,Sales Executive,27,31668,No
E0729,36,Unkown,IT,Software Engineer,35,112466,No
E1644,22,Female,Finance,Financial Analyst,3,157959,No
E1417,60,Unkown,HR,HR Executive,26,87489,No
E0203,39,Male,R&D,Research Analyst,22,48332,Yes
E0134,34,Male,Human Resources,Recruiter,29,135536,No
E1188,38,Male,R&D,Research Analyst,3,82031,No
E0213,54,Male,HR,HR Executive,23,49917,Yes
E0871,26,Male,R&D,Research Analyst,20,123664,Yes
E0008,35,Female,sales,Sales Executive,34,154828,No
E0236,47,Female,Human Resources,Recruiter,26,126471,No
E0647,47,Female,Finance,Financial Analyst,10,68503,No
E1406,28,Male,HR,HR Executive,2,85997,No
E0790,48,Unkown,R&D,Research Analyst,26,118878,No
E0345,51,Unkown,Operations,Operations Executive,14,150608,No
E0522,47,Male,Human Resources,Recruiter,4,39643,No
E1144,58,Male,Marketing,SEO Specialist,28,155034,Yes
E0528,27,Unkown,HR,Recruiter,23,154845,No
E1497,46,Unkown,sales,Sales Executive,32,76186,No
E0387,50,Male,Human Resources,Recruiter,30,46358,No
E1493,59,Unkown,HR,HR Executive,8,70915,No
E0878,40,Male,Sales,Sales Manager,14,128868,No
E1010,34,Unkown,Human Resources,Recruiter,12,114614,No
E0700,41,Male,HR,Recruiter,30,73746,No
E0453,51,Female,HR,Recruiter,14,136015,No
E0655,21,Unkown,HR,Recruiter,2,30096,N
E0389,28,Unkown,sales,Sales Executive,22,87442,No
E1478,60,Unkown,Operations,Operations Executive,21,121948,No
E0371,44,Female,Operations,Supervisor,11,79244,No
E0806,50,Male,Operations,Supervisor,16,88122,No
E0347,39,Female,Finance,Financial Analyst,16,87567,No
E1368,28,Male,Finance,Accountant,10,58501,Yes
E1037,38,Female,Operations,Operations Executive,16,96355,Yes
E0780,53,Unkown,sales,Sales Executive,29,51392,Yes
E1049,53,Unkown,sales,Sales Executive,11,82539,No
E0939,30,Female,R&D,Research Analyst,35,80352,No
E0013,39,Unkown,Finance,Financial Analyst,24,124596,No
E0596,51,Unkown,Human Resources,Recruiter,22,85376,No
E1213,42,Unkown,Human Resources,Recruiter,33,112632,No
E1074,38,Male,Marketing,Marketing Executive,30,101532,No
E1682,51,Male,Operations,Supervisor,24,58204,No
E0710,25,Male,sales,Sales Executive,18,145542,No
E0958,54,Unkown,sales,Sales Executive,11,31544,No
E0190,30,Unkown,sales,Sales Executive,28,47788,No
E1133,30,Female,HR,HR Executive,30,76370,Yes
E0719,45,Unkown,IT,System Admin,13,152128,No
E0872,60,Male,R&D,Scientist,26,94250,No
E1199,35,Male,HR,HR Executive,32,89434,No
E0821,48,Male,Marketing,Marketing Executive,22,103747,Yes
E1168,36,Female,IT,Software Engineer,3,30511,No
E0602,21,Female,Sales,Sales Executive,15,31563,No
E0682,47,Female,Operations,Supervisor,25,115970,No
E0149,42,Unkown,IT,System Admin,24,49142,No
E0786,30,Female,sales,Sales Executive,19,118667,No
E1430,39,Male,IT,Software Engineer,35,149610,No
E0862,47,Female,Human Resources,Recruiter,20,48036,No
E0917,50,Unkown,IT,System Admin,15,89634,No
E0218,33,Female,Human Resources,Recruiter,1,44286,No
E0428,22,Unkown,sales,Sales Executive,5,156056,Y
E1482,43,Female,Operations,Operations Executive,10,58211,Yes
E1381,27,Female,Marketing,Marketing Executive,35,144359,No
E1375,48,Unkown,Marketing,SEO Specialist,9,125304,No
E1483,56,Female,Finance,Financial Analyst,23,50291,No
E0124,33,Unkown,Human Resources,Recruiter,18,74659,Yes
E0794,27,Female,Finance,Accountant,28,148328,No
E1357,37,Male,sales,Sales Executive,2,148722,No
E0293,45,Female,IT,Software Engineer,15,128921,No
E0825,25,Unkown,Finance,Financial Analyst,23,157095,N
E1339,27,Female,Finance,Financial Analyst,5,113878,Yes
E1012,55,Unkown,sales,Sales Executive,14,149850,Yes
E1466,37,Unkown,sales,Sales Executive,32,103843,Yes
